"Karen et la sorcière / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage, 1992.";"87 p. : ill. ; 20 cm.";"Les baby-sitters. Le petit monde de Karen ; 1";"Titre original: Karen's witch.";"2-7625-6870-6 (br.)";;;"0001042676"
"Une mauvaise journée pour Karen / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"87 p. : ill. ; 20 cm";"Le Petit monde de Karen ; 3
Les baby-sitters. Le petit monde de Karen ; no 3";"Traduction de: Karen's worst day";"2-7625-6872-2 (br.) :";"Ferron, Nicole , trad.";"Karen's worst day";"0000335174";
"Les vacances d'été des Baby-sitters / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, cop. 1992";"211 p. ; 20 cm";"Les baby-sitters. Super spécial ; no 2";"Traduction de: Baby-sitter's Summer vacation
""Quatre gardiennes fondent leur club""";"2762571693 (br.) :";"Ferron, Nicole , trad.";"Baby-sitter's Summer vacation";"0000317584";
"Karen fait du patin à roulettes / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage, 1992.";"93 p. : ill. ; 20 cm.";"Les baby-sitters. Le petit monde de Karen ; 2";"Karen's roller skates.";"2-7625-6871-4 "
"Sophie est de retour / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, cop. 1992";"113 p. ; 20 cm";"Les baby-sitters ; 28";"Traduction de: Welcome back, Stacey!
""Quatre gardiennes fondent leur club""";"2762571685 (br.) :";"Prieur, Sylvie";"Welcome back, Stacey!";"0000326315";
"Diane en Californie / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"116 p. ; 20 cm";"Les baby-sitters ; 23";"Traduction de: Dawn on the coast
""Quatre gardiennes fondent leur club""";"2762569540 (br.) :";"Ferron, Nicole , trad.";"Dawn on the coast";"0000311830";
"Jessie et le petit diable / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"112 p. ; 20 cm";"Les baby-sitters ; 27";"Traduction de: Jessie and the superbrat
""Quatre gardiennes fondent leur club""";"2762571677 (br.) :";"Ferron, Nicole , trad.";"Jessie and the superbrat";"0000326288";
"Anne-Marie à la recherche de Tigrou / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"116 p. ; 20 cm";"Les baby-sitters ; 25";"Traduction de: Mary Anne and the search for Tigger
""Quatre gardiennes fondent leur club""";"2762571650 (br.) :";"Ferron, Nicole , trad.";"Mary Anne and the search for Tigger";"0000317577";
"La surprise de la fête des mères ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"114 p. ; 20 cm";"Les baby-sitters ; 24";"Traduction de: Kristy and the Mother's Day surprise
""Quatre gardiennes fondent leur club""";"2762569559 (br.) :";"Prieur, Sylvie , trad.";"Kristy and the Mother's Day surprise";"0000311831";
"Marjorie et les jumelles capricieuses / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"119 p. ; 20 cm";"Les baby-sitters ; 21";"Traduction de: Mallory and the trouble with twins
""Quatre gardiennes fondent leur club""";"2762569524 (br.) :";"Ferron, Nicole , trad.";"Mallory and the trouble with twins";"0000310048";
