Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb35593707v | ISBN 2803425793 | ;35593707;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14764 | ;2;"Valérie et l'enfant disparu / Ann M. Martin ; [trad. française, Michèle Guillemin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Guillemin, Michèle (1946-....) | ;Guillemin, Michèle (1946-....). Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 4) | Code à barres commercial : EAN 9782803425792 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb371596789 | ISBN 2803425815 | ;37159678;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14770 | ;1;"Valérie et les "champions" / Ann M. Martin ; [trad. française, Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | ;Goupil, Marie-Laure. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 20) | Code à barres commercial : EAN 9782803425815 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb36184847v | ISBN 2070505189 | ;36184847;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-2223 | ;1;Carla et le passage secret / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 818) | Code à barres commercial : EAN 9782070505180 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36184847v | ISBN 2070505189 | ;36184847;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-34754 | ;2;Carla et le passage secret / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 818) | Code à barres commercial : EAN 9782070505180 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168836r | ISBN 2070505146 | ;36168836;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-1115 | ;1;Carla et les trois monstres / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 784) | Code à barres commercial : EAN 9782070505142 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168836r | ISBN 2070505146 | ;36168836;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-38070 | ;2;Carla et les trois monstres / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 784) | Code à barres commercial : EAN 9782070505142 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168836r | ISBN 2070505146 | ;36168836;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14714 | ;3;Carla et les trois monstres / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 784) | Code à barres commercial : EAN 9782070505142 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36184868t | ISBN 2070505162 | ;36184868;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-2217 | ;1;Claudia a des ennuis / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 816) | Code à barres commercial : EAN 9782070505166 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36184868t | ISBN 2070505162 | ;36184868;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-34781 | ;2;Claudia a des ennuis / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 816) | Code à barres commercial : EAN 9782070505166 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168806t | ISBN 2070505111 | ;36168806;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-1116 | ;1;Claudia et le visiteur fantôme / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 781) | Code à barres commercial : EAN 9782070505111 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168806t | ISBN 2070505111 | ;36168806;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14717 | ;2;Claudia et le visiteur fantôme / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 781) | Code à barres commercial : EAN 9782070505111 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168806t | ISBN 2070505111 | ;36168806;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-38515 | ;3;Claudia et le visiteur fantôme / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 781) | Code à barres commercial : EAN 9782070505111 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb392457974;39245797;ensemble monographique : notice d'ensemble bibliographique | monographie;texte imprimé;;;Le club des baby-sitters / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;Collection : (Folio junior);;;fre | français | ;18 cm;
http://catalogue.bnf.fr/ark:/12148/cb36168821q | ISBN 2070505154 | ;36168821;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-1114 | ;1;Un grand jour pour Kristy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 785) | Code à barres commercial : EAN 9782070505159 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168821q | ISBN 2070505154 | ;36168821;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14730 | ;2;Un grand jour pour Kristy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 785) | Code à barres commercial : EAN 9782070505159 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168821q | ISBN 2070505154 | ;36168821;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-38514 | ;3;Un grand jour pour Kristy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 785) | Code à barres commercial : EAN 9782070505159 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168817g | ISBN 2070505103 | ;36168817;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-1113 | ;1;L'idée géniale de Kristy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 780) | Code à barres commercial : EAN 9782070505104 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168817g | ISBN 2070505103 | ;36168817;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14733 | ;2;L'idée géniale de Kristy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 780) | Code à barres commercial : EAN 9782070505104 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168817g | ISBN 2070505103 | ;36168817;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-38072 | ;3;L'idée géniale de Kristy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 780) | Code à barres commercial : EAN 9782070505104 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36184864f | ISBN 2070505197 | ;36184864;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-2216 | ;1;Logan aime Mary Ann / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 819) | Code à barres commercial : EAN 9782070505197 | ";;;fre | français | ;"139 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36184864f | ISBN 2070505197 | ;36184864;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-34750 | ;2;Logan aime Mary Ann / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 819) | Code à barres commercial : EAN 9782070505197 | ";;;fre | français | ;"139 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb361848602 | ISBN 2070505170 | ;36184860;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-2197 | ;1;Lucy est amoureuse / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 817) | Code à barres commercial : EAN 9782070505173 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb361848602 | ISBN 2070505170 | ;36184860;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-34753 | ;2;Lucy est amoureuse / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 817) | Code à barres commercial : EAN 9782070505173 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168826f | ISBN 2070505138 | ;36168826;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-658 | ;1;Pas de panique, Mary Anne ! / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 783) | Code à barres commercial : EAN 9782070505135 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168826f | ISBN 2070505138 | ;36168826;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14757 | ;2;Pas de panique, Mary Anne ! / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 783) | Code à barres commercial : EAN 9782070505135 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36168826f | ISBN 2070505138 | ;36168826;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-38071 | ;3;Pas de panique, Mary Anne ! / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 783) | Code à barres commercial : EAN 9782070505135 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb361688102 | ISBN 207050512X | ;36168810;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-661 | ;1;Le secret de Lucy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 782) | Code à barres commercial : EAN 9782070505128 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb361688102 | ISBN 207050512X | ;36168810;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14763 | ;2;Le secret de Lucy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 782) | Code à barres commercial : EAN 9782070505128 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb361688102 | ISBN 207050512X | ;36168810;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-38516 | ;3;Le secret de Lucy / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Gallimard jeunesse (Paris);1997;"Collection : (Folio junior ; 782) | Code à barres commercial : EAN 9782070505128 | ";;;fre | français | ;"151 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36708055m | ISBN 2070519155 | ;36708055;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 1998-4225 | ;1;"Au revoir, Lucy ! / Ann M. Martin ; trad. de l'américain par Marie-Laure Goupil et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | Weil, Camille (1945-....) | ;Goupil, Marie-Laure. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 868) | Code à barres commercial : EAN 9782070519156 | ";;;fre | français | ;"138 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36708055m | ISBN 2070519155 | ;36708055;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14704 | ;2;"Au revoir, Lucy ! / Ann M. Martin ; trad. de l'américain par Marie-Laure Goupil et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | Weil, Camille (1945-....) | ;Goupil, Marie-Laure. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 868) | Code à barres commercial : EAN 9782070519156 | ";;;fre | français | ;"138 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36708055m | ISBN 2070519155 | ;36708055;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-35146 | ;3;"Au revoir, Lucy ! / Ann M. Martin ; trad. de l'américain par Marie-Laure Goupil et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | Weil, Camille (1945-....) | ;Goupil, Marie-Laure. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 868) | Code à barres commercial : EAN 9782070519156 | ";;;fre | français | ;"138 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370082433 | ISBN 2070519201 | ;37008243;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 1999-43654 | ;1;"L'erreur de Lucy / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weill";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 908) | Code à barres commercial : EAN 9782070519200 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370082433 | ISBN 2070519201 | ;37008243;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14725 | ;2;"L'erreur de Lucy / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weill";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 908) | Code à barres commercial : EAN 9782070519200 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370082433 | ISBN 2070519201 | ;37008243;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-36480 | ;3;"L'erreur de Lucy / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weill";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 908) | Code à barres commercial : EAN 9782070519200 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb367080517 | ISBN 2070519163 | ;36708051;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 1998-4250 | ;1;"Mallory entre en scène / Ann M. Martin ; trad. de l'américain par Martine Gosselin et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Gosselin, Martine | Weil, Camille (1945-....) | ;Gosselin, Martine. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 875) | Code à barres commercial : EAN 9782070519163 | ";;;fre | français | ;"139 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb367080517 | ISBN 2070519163 | ;36708051;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-35148 | ;2;"Mallory entre en scène / Ann M. Martin ; trad. de l'américain par Martine Gosselin et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Gosselin, Martine | Weil, Camille (1945-....) | ;Gosselin, Martine. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 875) | Code à barres commercial : EAN 9782070519163 | ";;;fre | français | ;"139 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370070690 | ISBN 2070519198 | ;37007069;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 1999-64357 | ;1;"Mary Anne et la malédiction / Ann M. Martin ; trad. de l'américain par Marie-Laure Goupil et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | Weil, Camille (1945-....) | ;Goupil, Marie-Laure. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 898) | Code à barres commercial : EAN 9782070519194 | ";;;fre | français | ;"137 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370070690 | ISBN 2070519198 | ;37007069;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14748 | ;2;"Mary Anne et la malédiction / Ann M. Martin ; trad. de l'américain par Marie-Laure Goupil et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | Weil, Camille (1945-....) | ;Goupil, Marie-Laure. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 898) | Code à barres commercial : EAN 9782070519194 | ";;;fre | français | ;"137 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370070690 | ISBN 2070519198 | ;37007069;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-39903 | ;3;"Mary Anne et la malédiction / Ann M. Martin ; trad. de l'américain par Marie-Laure Goupil et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | Weil, Camille (1945-....) | ;Goupil, Marie-Laure. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 898) | Code à barres commercial : EAN 9782070519194 | ";;;fre | français | ;"137 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36200461v | ISBN 2070505219 | ;36200461;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 16(J)-D4 MON-2511 | ;1;"La nouvelle amie de Claudia / Ann M. Martin ; trad. de l'américain par Dominique Laplier et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Laplier, Dominique | Weil, Camille (1945-....) | ;Laplier, Dominique. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 852) | Code à barres commercial : EAN 9782070505210 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36200461v | ISBN 2070505219 | ;36200461;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-39645 | ;2;"La nouvelle amie de Claudia / Ann M. Martin ; trad. de l'américain par Dominique Laplier et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Laplier, Dominique | Weil, Camille (1945-....) | ;Laplier, Dominique. Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 852) | Code à barres commercial : EAN 9782070505210 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36708388d | ISBN 2070519171 | ;36708388;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 1998-4251 | ;1;"La revanche de Carla / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 892) | Code à barres commercial : EAN 9782070519170 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb36708388d | ISBN 2070519171 | ;36708388;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-35865 | ;2;"La revanche de Carla / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 892) | Code à barres commercial : EAN 9782070519170 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb391521686 | ISBN 207051921X | ;39152168;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 2005-5934 | ;1;"Une vengeance pour Claudia / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 932) | Code à barres commercial : EAN 9782070519217 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb391521686 | ISBN 207051921X | ;39152168;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-45022 | ;2;"Une vengeance pour Claudia / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 932) | Code à barres commercial : EAN 9782070519217 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb391521686 | ISBN 207051921X | ;39152168;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14759 | ;3;"Une vengeance pour Claudia / Ann M. Martin ; trad. de l'américain par Françoise Rose et Camille Weil";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | Weil, Camille (1945-....) | ;Rose, Françoise (1948-....). Traducteur | Weil, Camille (1945-....). Traducteur | ;Gallimard jeunesse (Paris);1998;"Collection : (Folio junior ; 932) | Code à barres commercial : EAN 9782070519217 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb370900931 | ISBN 2070527182 | ;37090093;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 2000-46141 | ;1;"Le cadeau de Kristy / Ann M. Martin ; trad. de l'américain par Stéphanie Alglave et Cécile Giroldi";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Alglave, Stéphanie | Giroldi, Cécile | ;Alglave, Stéphanie. Traducteur | Giroldi, Cécile. Traducteur | ;Gallimard jeunesse (Paris);1999;"Collection : (Folio junior ; 983) | Code à barres commercial : EAN 9782070527182 | ";;;fre | français | ;"153 p. : couv. ill. en coul. ; 18 cm";
