Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb35411963k | ISBN 2803419904 | ;35411963;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (7) | ;1;Julie n'a pas de chance / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 7) | Code à barres commercial : EAN 9782803419906 | ";;;fre | français | ;"123 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411963k | ISBN 2803419904 | ;35411963;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14736 | ;2;Julie n'a pas de chance / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 7) | Code à barres commercial : EAN 9782803419906 | ";;;fre | français | ;"123 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35412007v | ISBN 2803419955 | ;35412007;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (12) | ;1;La nouvelle amie de Julie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 12) | Code à barres commercial : EAN 9782803419951 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35412007v | ISBN 2803419955 | ;35412007;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14769 | ;2;La nouvelle amie de Julie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 12) | Code à barres commercial : EAN 9782803419951 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35412000f | ISBN 2803419866 | ;35412000;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (3) | ;1;Le secret de Sophie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 3) | Code à barres commercial : EAN 9782803419869 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35412000f | ISBN 2803419866 | ;35412000;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14767 | ;2;Le secret de Sophie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 3) | Code à barres commercial : EAN 9782803419869 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411981h | ISBN 2803419912 | ;35411981;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (8) | ;1;Sophie est amoureuse / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 8) | Code à barres commercial : EAN 9782803419913 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411981h | ISBN 2803419912 | ;35411981;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14766 | ;2;Sophie est amoureuse / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 8) | Code à barres commercial : EAN 9782803419913 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411975k | ISBN 2803419947 | ;35411975;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (11) | ;1;Valérie et les snobs / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 11) | Code à barres commercial : EAN 9782803419944 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411975k | ISBN 2803419947 | ;35411975;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14771 | ;2;Valérie et les snobs / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 11) | Code à barres commercial : EAN 9782803419944 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
